trim3 reads
P01-01-H-n06_fun_fwd-n05_fun_rev 7
P01-01-A-n09_gi_fwd-n10_gi_rev 2
P01-01-F-n08_gi_fwd-n05_fun_rev 1
P01-01-A-n05_fun_fwd-n03_fun_rev 2
P01-01-C-n09_gi_fwd-n09_gi_rev 330
P01-01-F-n03_fun_fwd-n04_fun_rev 50
P01-01-G-n03_fun_fwd-n03_fun_rev 794
P01-01-G-n08_gi_fwd-n08_gi_rev 217
P01-01-C-n08_gi_fwd-n06_gi_rev 1
P01-01-D-n04_fun_fwd-n05_fun_rev 26
P01-01-D-n07_gi_fwd-n09_gi_rev 2
P01-01-E-n04_fun_fwd-n02_fun_rev 3
P01-01-A-n05_gi_fwd-n07_gi_rev 6
P01-01-F-n06_gi_fwd-n04_fun_rev 1
P01-01-A-n06_fun_fwd-n05_fun_rev 38
P01-02-D-n09_gi_fwd-n09_gi_rev 1
P01-01-F-n02_fun_fwd-n06_fun_rev 1
P01-01-G-n05_fun_fwd-n02_fun_rev 1
P01-01-F-n05_fun_fwd-n05_fun_rev 1856
P01-01-F-n07_gi_fwd-n06_gi_rev 3
P01-01-G-n05_gi_fwd-n06_gi_rev 12
P01-01-H-n03_fun_fwd-n02_fun_rev 6
P01-01-B-n07_gi_fwd-n08_gi_rev 4
P01-01-E-n08_gi_fwd-n07_gi_rev 9
P01-01-E-n02_fun_fwd-n03_fun_rev 12
P01-01-D-n02_fun_fwd-n04_fun_rev 2
P01-01-A-n08_gi_fwd-n09_gi_rev 19
P01-01-E-n09_gi_fwd-n08_gi_rev 16
P01-01-G-n06_fun_fwd-n04_fun_rev 1
P01-01-C-n04_fun_fwd-n03_fun_rev 21
P01-01-B-n04_fun_fwd-n04_fun_rev 2179
P01-01-B-n05_fun_fwd-n06_fun_rev 40
P01-02-C-n05_fun_fwd-n05_fun_rev 2
P01-01-A-n03_fun_fwd-n02_fun_rev 3
P01-01-B-n06_gi_fwd-n07_gi_rev 140
P01-01-D-n02_fun_fwd-n05_fun_rev 2
P01-01-C-n10_gi_fwd-n09_gi_rev 1
P01-01-C-n05_gi_fwd-n06_gi_rev 34
P01-01-F-n07_gi_fwd-n08_gi_rev 40
P01-01-F-n04_fun_fwd-n06_fun_rev 2
P01-01-C-n06_fun_fwd-n06_fun_rev 333
P01-01-B-n07_gi_fwd-n06_gi_rev 3
P01-01-F-n05_fun_fwd-n04_fun_rev 38
P01-01-E-n08_gi_fwd-n09_gi_rev 19
P01-02-D-n03_fun_fwd-n03_fun_rev 1
P01-01-A-n08_gi_fwd-n07_gi_rev 11
P01-01-H-n03_fun_fwd-n03_fun_rev 799
P01-01-A-n09_gi_fwd-n08_gi_rev 11
P01-01-A-n03_fun_fwd-n03_fun_rev 391
P01-01-F-n06_gi_fwd-n07_gi_rev 205
P01-01-B-n04_fun_fwd-n05_fun_rev 9
P01-01-G-n06_fun_fwd-n05_fun_rev 3
P01-01-C-n04_fun_fwd-n01_fun_rev 1
P01-01-F-n06_gi_fwd-n08_gi_rev 5
P01-01-B-n04_fun_fwd-n06_fun_rev 1
P01-01-G-n06_fun_fwd-n06_fun_rev 279
P01-01-C-n04_gi_fwd-n06_gi_rev 2
P01-01-B-n06_gi_fwd-n06_gi_rev 524
P01-01-G-n04_gi_fwd-n08_gi_rev 1
P01-01-E-n09_gi_fwd-n09_gi_rev 677
P01-01-B-n05_fun_fwd-n04_fun_rev 7
P01-01-C-n05_fun_fwd-n03_fun_rev 1
P01-01-D-n03_fun_fwd-n04_fun_rev 50
P01-01-E-n03_fun_fwd-n03_fun_rev 2780
P01-01-F-n05_fun_fwd-n07_fun_rev 1
P01-01-A-n08_gi_fwd-n08_gi_rev 1076
P01-01-F-n07_gi_fwd-n07_gi_rev 1323
P01-01-F-n04_fun_fwd-n05_fun_rev 46
P01-01-B-n06_fun_fwd-n02_fun_rev 1
P01-01-C-n06_fun_fwd-n05_fun_rev 9
P01-01-F-n06_gi_fwd-n06_gi_rev 291
P01-01-B-n06_gi_fwd-n08_gi_rev 1
P01-01-C-n09_gi_fwd-n10_gi_rev 1
P01-01-B-n05_fun_fwd-n05_fun_rev 565
P01-01-C-n06_gi_fwd-n05_gi_rev 5
P01-01-A-n04_fun_fwd-n08_gi_rev 1
P01-02-C-n04_fun_fwd-n04_fun_rev 1
P01-01-E-n09_gi_fwd-n07_gi_rev 1
P01-01-A-n09_gi_fwd-n09_gi_rev 418
P01-01-A-n02_fun_fwd-n03_fun_rev 1
P01-01-G-n04_fun_fwd-n03_fun_rev 3
P01-01-E-n08_gi_fwd-n08_gi_rev 503
P01-01-F-n04_fun_fwd-n04_fun_rev 12777
P01-02-A-n06_gi_fwd-n06_gi_rev 1
P01-01-H-n02_fun_fwd-n03_fun_rev 5
P01-01-A-n01_fun_fwd-n05_fun_rev 1
P01-01-F-n07_gi_fwd-n09_gi_rev 3
P01-01-E-n03_fun_fwd-n02_fun_rev 29
P01-01-C-n05_gi_fwd-n07_gi_rev 2
P01-01-B-n07_gi_fwd-n07_gi_rev 883
P01-01-C-n07_fun_fwd-n06_fun_rev 2
P01-01-D-n08_gi_fwd-n05_gi_rev 1
P01-01-F-n05_fun_fwd-n06_fun_rev 26
P01-01-G-n05_fun_fwd-n01_fun_rev 1
