sample input filtered denoised.fwd denoised.rev merged
P01-01-G-n06_gi_fwd-n07_gi_rev 7 7 NA NA NA
P01-01-G-n06_gi_fwd-n08_gi_rev 1 1 NA NA NA
P01-01-G-n06_gi_fwd-n09_gi_rev 1 1 NA NA NA
P01-01-G-n07_gi_fwd-n06_gi_rev 2 2 NA NA NA
P01-01-G-n07_gi_fwd-n07_gi_rev 23 23 NA NA NA
P01-01-G-n07_gi_fwd-n08_gi_rev 7 7 NA NA NA
P01-01-G-n08_gi_fwd-n07_gi_rev 2 2 NA NA NA
P01-01-G-n08_gi_fwd-n08_gi_rev 212 211 NA NA NA
P01-01-G-n08_gi_fwd-n09_gi_rev 3 3 NA NA NA
P01-01-G-n09_gi_fwd-n08_gi_rev 2 2 NA NA NA
P01-01-G-n09_gi_fwd-n09_gi_rev 65 63 NA NA NA
P01-01-H-n02_fun_fwd-n03_fun_rev 5 5 3 4 3
P01-01-H-n02_fun_fwd-n04_fun_rev 1 1 1 1 1
P01-01-H-n03_fun_fwd-n02_fun_rev 4 2 2 2 0
P01-01-H-n03_fun_fwd-n03_fun_rev 790 774 774 748 748
P01-01-H-n03_fun_fwd-n04_fun_rev 4 4 4 4 0
P01-01-H-n04_fun_fwd-n03_fun_rev 1 1 1 1 1
P01-01-H-n04_fun_fwd-n04_fun_rev 510 493 493 455 455
P01-01-H-n04_fun_fwd-n05_fun_rev 5 4 4 4 4
P01-01-H-n04_fun_fwd-n06_fun_rev 1 0 NA NA NA
P01-01-H-n04_gi_fwd-n06_gi_rev 1 1 NA NA NA
P01-01-H-n05_fun_fwd-n04_fun_rev 6 5 5 5 5
P01-01-H-n05_fun_fwd-n05_fun_rev 535 516 515 508 488
P01-01-H-n05_fun_fwd-n06_fun_rev 3 3 3 3 3
P01-01-H-n05_gi_fwd-n06_gi_rev 7 6 NA NA NA
P01-01-H-n05_gi_fwd-n07_gi_rev 1 1 NA NA NA
P01-01-H-n06_fun_fwd-n05_fun_rev 5 5 2 5 0
